Date,Open,High,Low,Close,Volume
2021-01-04,1482.17,1500.01,1478.7,1495.43,5172334316
2021-01-05,1492.19,1506.89,1474.76,1489.56,6659180251
2021-01-06,1501.61,1509.49,1497.09,1505.42,5330873316
2021-01-07,1511.6,1522.7,1505.7,1522.24,6175892377
2021-01-08,1526.51,1542.75,1519.8,1540.61,5500828088
2021-01-11,1539.96,1557.45,1522.25,1536.19,5408869256
2021-01-12,1549.04,1556.35,1537.38,1549.53,5168557356
2021-01-13,1559.77,1567.88,1545.26,1559.28,4878475273
2021-01-14,1567.11,1568.06,1542.17,1546.6,4811686766
2021-01-15,1536.82,1547.84,1516.14,1524.49,4762625394
2021-01-18,1525.45,1558.81,1508.9,1556.77,4677723000
2021-01-19,1569.56,1578.3,1561.02,1565.01,4837702091
2021-01-20,1573.37,1574.3,1552.1,1569.35,4559421501
2021-01-21,1578.03,1582.04,1551.57,1551.57,5612415451
2021-01-22,1551.47,1555.59,1525.93,1542.45,4687438551
2021-01-25,1556.57,1560.13,1536.97,1540.21,4811784690
2021-01-26,1538.03,1548.61,1516.81,1536.11,5298756721
2021-01-27,1536.13,1541.01,1467,1467,5789300558
2021-01-28,1453.37,1498.43,1431.32,1498.32,5830524382
2021-01-29,1485.21,1495.54,1469.55,1473.45,4511590482
2021-02-01,1484.86,1500.88,1471.54,1492.45,3818595474
2021-02-02,1505.09,1517.53,1500.04,1511.43,4768154867
2021-02-03,1520.7,1533.55,1509.18,1533.55,5128373803
2021-02-04,1537.65,1544.63,1530.82,1534.9,4217777653
2021-02-05,1544.79,1549.51,1527.17,1527.17,3818195733
2021-02-08,1540.22,1542.44,1519,1534.91,6523204326
2021-02-09,1538.53,1551.83,1535.59,1544.05,5427787640
2021-02-10,1553.41,1556.7,1536.44,1547.11,3953836996
2021-02-11,1548.69,1558.08,1543.67,1545.59,3343474021
2021-02-12,1542.5,1548.69,1526.72,1538.44,3016910069
2021-02-15,1551.12,1565.83,1547.38,1562.49,2959156113
2021-02-16,1569.12,1575.7,1522.08,1542.82,5626114880
2021-02-17,1550.49,1553.41,1529.93,1540.59,5053711590
2021-02-18,1548.04,1562.83,1544.22,1546.41,4680451708
2021-02-19,1551.54,1567.42,1550.14,1560.34,4235697248
2021-02-22,1563.08,1569.84,1547.49,1550.61,4048658823
2021-02-23,1558.03,1560.29,1515.25,1517.86,5095610160
2021-02-24,1506.53,1523.19,1483.02,1483.02,4253745822
2021-02-25,1510.32,1514.81,1460.36,1488.21,4432962277
2021-02-26,1457.18,1480.04,1443.17,1471.39,3712196471
2021-03-01,1491.88,1527.45,1491.13,1527.45,3241634830
2021-03-02,1526.36,1537.46,1518.51,1528.82,4695222616
2021-03-03,1538.8,1553.96,1526.54,1531.05,4182944989
2021-03-04,1527.07,1542.65,1523.2,1538.04,3296335111
2021-03-05,1534.4,1546.08,1528.47,1541.98,3402004729
2021-03-08,1549.62,1553.81,1526.58,1530.27,3557388366
2021-03-09,1542.04,1553.23,1534.99,1549.15,3047242194
2021-03-10,1551.3,1565.97,1551.3,1564.94,3002423385
2021-03-11,1574.58,1580.03,1551.88,1556.49,3102707486
2021-03-12,1558.33,1561.65,1549.31,1557.39,2623930916
2021-03-15,1558.78,1566.39,1553.49,1555.47,2092203729
2021-03-16,1561.41,1572.91,1557.54,1570.42,2174588372
2021-03-17,1574.78,1589.47,1562.11,1562.11,2854913868
2021-03-18,1567.79,1574.56,1548.24,1550.93,3571672941
2021-03-19,1548.53,1553.93,1511.29,1528.99,3191601509
2021-03-22,1491.99,1491.99,1378.56,1379.25,1956226810
2021-03-23,1335.76,1402.99,1256.32,1377.43,5739708935
2021-03-24,1377.37,1421.93,1371.72,1413.86,4122592259
2021-03-25,1416.99,1432.62,1394.19,1394.36,3506861687
2021-03-26,1409.2,1412.35,1359.15,1382.15,2953052324
2021-03-29,1385.74,1398.89,1382.47,1392.57,2666302416
2021-03-30,1392.84,1400.77,1371.43,1395.79,3348091430
2021-03-31,1397.47,1403.75,1389.86,1391.73,2389183217
2021-04-01,1399.34,1426.56,1399.34,1426.56,3171634665
2021-04-02,1434.91,1438.88,1423.51,1430.19,2193425193
2021-04-05,1428.99,1443.02,1428.88,1442.06,2562662089
2021-04-06,1442.88,1445.13,1419.66,1420.59,2647194891
2021-04-07,1420.94,1422.48,1402.36,1417.89,2778656360
2021-04-08,1422.22,1430.34,1415.06,1416.55,2096631664
2021-04-09,1413.18,1414.95,1373.65,1393.24,2874952015
2021-04-12,1393.47,1398.12,1374.67,1375.91,2304203961
2021-04-13,1380.11,1386.36,1352.74,1378.37,2863563667
2021-04-14,1380.71,1409.19,1380.71,1409.19,2625140569
2021-04-15,1409.76,1418.52,1398.28,1407.76,4190463324
2021-04-16,1405.5,1412.56,1400.49,1408.14,2315175662
